Era,Validator,EraPoints,TotalStake,OwnStake,NominatedStake,NomCount,PageCount,CommissionRate,Blocked,CommissionEarned,OwnReward,TotalReward
0,5D814dkZGy3ra2xtX7tAtXenhTvBH1SZuVEs1y3VyvvZW6ko,83540,99999.999999999558093114,99999.999999999558093114,0E-18,0,0,0.0,False,0E-18,273743.597735999999903232,273743.597735999999903232
1,5D814dkZGy3ra2xtX7tAtXenhTvBH1SZuVEs1y3VyvvZW6ko,86380,99999.999999999558093114,99999.999999999558093114,0E-18,0,0,0.0,False,0E-18,273773.566564231803496115,273773.566564231803496115
2,5CXVnAHFCt4m3LcwLzjcT3mdiQjnxJ5PA2ytZ8aD91DxKMic,3920,99999.999999999658243866,99999.999999999658243866,0E-18,0,0,0.0,False,0E-25,14010.8024825980496319549245480,14010.8024825980496319549245480
2,5D814dkZGy3ra2xtX7tAtXenhTvBH1SZuVEs1y3VyvvZW6ko,3680,99999.999999999658243866,99999.999999999658243866,0E-18,0,0,0.0,False,0E-25,13152.9982489695981820070420723,13152.9982489695981820070420723
2,5DhHJyY2PojTiZ1Qm4F8RuzKEHYYWsEJDoXDakPcVMqPkfsE,3960,99999.999999999658243866,99999.999999999658243866,0E-18,0,0,0.0,False,0E-25,14153.7698548694590508377089708,14153.7698548694590508377089708
2,5E9WFrdJgeP46qPEr6VL6y9agscxm4Gf78vqiuQnAftekN3R,3460,99999.999999999658243866,99999.999999999658243866,0E-18,0,0,0.0,False,0E-25,12366.6777014768514415005518081,12366.6777014768514415005518081
2,5F94b3JvoD2pq9m3bgyn3M2tcUA7WW1M3uck4yBYPNZUZmce,3580,99999.999999999658243866,99999.999999999658243866,0E-18,0,0,0.0,False,0E-25,12795.5798182910771664744930459,12795.5798182910771664744930459
2,5G961Rr3p9CdaLfdRUDb5XexmSTtgDECx4ErEZPn2zPPeaH7,3260,99999.999999999658243866,99999.999999999658243866,0E-18,0,0,0.0,False,0E-25,11651.8408401198068787610417246,11651.8408401198068787610417246
2,5H1M3avPbU5gGUBQJBqqzBJecy2kVPRK9nGbbgjho5Y4BA8Y,3660,99999.999999999658243866,99999.999999999658243866,0E-18,0,0,0.0,False,0E-25,13081.5145628338934725656498609,13081.5145628338934725656498609
3,5CXVnAHFCt4m3LcwLzjcT3mdiQjnxJ5PA2ytZ8aD91DxKMic,10780,99999.99999999996049017,99999.99999999996049017,0E-17,0,0,0.0,False,0E-25,34190.3463976853658743997062338,34190.3463976853658743997062338
3,5D814dkZGy3ra2xtX7tAtXenhTvBH1SZuVEs1y3VyvvZW6ko,10880,99999.99999999996049017,99999.99999999996049017,0E-17,0,0,0.0,False,0E-25,34507.5110210405147711010024822,34507.5110210405147711010024822
3,5DFAJjy18Rb12MCPr9NrVqnEJiCkMAnoHgE2Gixr5KDsoLGP,11140,99999.99999999996049017,99999.99999999996049017,0E-17,0,0,0.0,False,0E-25,35332.1390417639155899156758002,35332.1390417639155899156758002
3,5DhHJyY2PojTiZ1Qm4F8RuzKEHYYWsEJDoXDakPcVMqPkfsE,11120,99999.99999999996049017,99999.99999999996049017,0E-17,0,0,0.0,False,0E-25,35268.7061170928812481116488597,35268.7061170928812481116488597
3,5E9WFrdJgeP46qPEr6VL6y9agscxm4Gf78vqiuQnAftekN3R,10420,99999.99999999996049017,99999.99999999996049017,0E-17,0,0,0.0,False,0E-25,33048.5537536068199609368764098,33048.5537536068199609368764098
